index-entry-number,entry-number,entry-timestamp,key,registration-district,name,name-cy,start-date,end-date
132,132,2017-03-20T15:10:43Z,605,605,Leicestershire,,,
131,131,2017-03-20T15:10:43Z,604,604,Rutland,,,
130,130,2017-03-20T15:10:43Z,600,600,Leicester,,,
129,129,2017-03-20T15:10:43Z,591,591,Lancashire,,,
128,128,2017-03-20T15:10:43Z,581,581,Blackpool,,,
127,127,2017-03-20T15:10:43Z,580,580,"Blackburn With Darwen",,,
126,126,2017-03-20T15:10:43Z,564,564,Kent,,,
125,125,2017-03-20T15:10:43Z,561,561,Medway,,,
124,124,2017-03-20T15:10:43Z,556,556,"Isle of Wight",,,
123,123,2017-03-20T15:10:43Z,554,554,"North Lincolnshire",,,
122,122,2017-03-20T15:10:43Z,550,550,Hull,,,
121,121,2017-03-20T15:10:43Z,548,548,"North East Lincolnshire",,,
120,120,2017-03-20T15:10:43Z,541,541,"East Riding of Yorkshire",,,
119,119,2017-03-20T15:10:43Z,538,538,Hertfordshire,,,
118,118,2017-03-20T15:10:43Z,527,527,Worcestershire,,,
117,117,2017-03-20T15:10:43Z,511,511,Herefordshire,,,
116,116,2017-03-20T15:10:43Z,504,504,Hampshire,,,
115,115,2017-03-20T15:10:43Z,500,500,Southampton,,,
114,114,2017-03-20T15:10:43Z,497,497,Portsmouth,,,
113,113,2017-03-20T15:10:43Z,488,488,Gloucestershire,,,
112,112,2017-03-20T15:10:43Z,477,477,Thurrock,,,
111,111,2017-03-20T15:10:43Z,475,475,Southend-on-Sea,,,
110,110,2017-03-20T15:10:43Z,463,463,Essex,,,
109,109,2017-03-20T15:10:43Z,462,462,"East Sussex",,,
108,108,2017-03-20T15:10:43Z,452,452,"Brighton and Hove",,,
107,107,2017-03-20T15:10:43Z,442,442,"County of Durham",,,
106,106,2017-03-20T15:10:43Z,436,436,Darlington,,,
105,105,2017-03-20T15:10:43Z,431,431,Poole,,,
104,104,2017-03-20T15:10:43Z,429,429,Dorset,,,
103,103,2017-03-20T15:10:43Z,427,427,Bournemouth,,,
102,102,2017-03-20T15:10:43Z,423,423,Devon,,,
101,101,2017-03-20T15:10:43Z,422,422,Torbay,,,
100,100,2017-03-20T15:10:43Z,416,416,Plymouth,,,
99,99,2017-03-20T15:10:43Z,398,398,Derbyshire,,,
98,98,2017-03-20T15:10:43Z,394,394,Derby,,,
97,97,2017-03-20T15:10:43Z,387,387,Cumbria,,,
96,96,2017-03-20T15:10:43Z,371,371,Cornwall,,,
95,95,2017-03-20T15:10:43Z,360,360,"Isles of Scilly",,,
94,94,2017-03-20T15:10:43Z,351,351,Hartlepool,,,
93,93,2017-03-20T15:10:43Z,350,350,Stockton-on-Tees,,,
92,92,2017-03-20T15:10:43Z,349,349,"Redcar and Cleveland",,,
91,91,2017-03-20T15:10:43Z,348,348,Middlesbrough,,,
90,90,2017-03-20T15:10:43Z,346,346,Warrington,,,
89,89,2017-03-20T15:10:43Z,345,345,"Cheshire West and Chester",,,
88,88,2017-03-20T15:10:43Z,343,343,Halton,,,
87,87,2017-03-20T15:10:43Z,342,342,"Cheshire East",,,
86,86,2017-03-20T15:10:43Z,339,339,Cambridgeshire,,,
85,85,2017-03-20T15:10:43Z,335,335,Peterborough,,,
84,84,2017-03-20T15:10:43Z,328,328,Buckinghamshire,,,
83,83,2017-03-20T15:10:43Z,326,326,"Milton Keynes",,,
82,82,2017-03-20T15:10:43Z,323,323,Wokingham,,,
81,81,2017-03-20T15:10:43Z,322,322,"Windsor and Maidenhead",,,
80,80,2017-03-20T15:10:43Z,321,321,Slough,,,
79,79,2017-03-20T15:10:43Z,320,320,Reading,,,
78,78,2017-03-20T15:10:43Z,319,319,"West Berkshire",,,
77,77,2017-03-20T15:10:43Z,318,318,"Bracknell Forest",,,
