index-entry-number,entry-number,entry-timestamp,key,"information-sharing-agreement-specified-person-0001",name,relevant-powers,start-date,end-date
61,61,2018-11-01T16:37:01Z,61,61,"A fire and rescue authority in England constituted by a scheme under section 2 of the Fire and Rescue Services Act 2004 or a scheme to which section 4 of that Act applies.","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
60,60,2018-11-01T16:37:01Z,60,60,"The London Fire Commissioner","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
59,59,2018-11-01T16:37:01Z,59,59,"A metropolitan county fire and rescue authority","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:2",,
58,58,2018-11-01T16:37:01Z,58,58,"A civil registration official for a county borough council in Wales","information-sharing-agreement-powers-and-objectives-0001:5",,
56,56,2018-11-01T16:37:01Z,56,56,"A civil registration official for a county council in Wales","information-sharing-agreement-powers-and-objectives-0001:5",,
54,54,2018-11-01T16:37:01Z,54,54,"The Greater London Authority","information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
53,53,2018-11-01T16:37:01Z,53,53,"A civil registration official for the Council of the Isles of Scilly","information-sharing-agreement-powers-and-objectives-0001:5",,
52,52,2018-11-01T16:37:01Z,52,52,"The Council of the Isles of Scilly","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
51,51,2018-11-01T16:37:01Z,51,51,"A civil registration official for the Common Council of the City of London","information-sharing-agreement-powers-and-objectives-0001:5",,
50,50,2018-11-01T16:37:01Z,50,50,"The Common Council of the City of London in its capacity as a local authority","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
49,49,2018-11-01T16:37:01Z,49,49,"A combined authority established under section 103 of the Local Democracy, Economic Development and Construction Act 2009.","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3",,
48,48,2018-11-01T16:37:01Z,48,48,"A civil registration official for a London Borough Council","information-sharing-agreement-powers-and-objectives-0001:5",,
47,47,2018-11-01T16:37:01Z,47,47,"A London Borough Council","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
46,46,2018-11-01T16:37:01Z,46,46,"A civil registration official for the council of any district in England comprised in an area for which there is no county council","information-sharing-agreement-powers-and-objectives-0001:5",,
45,45,2018-11-01T16:37:01Z,45,45,"A district council in England","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
44,44,2018-11-01T16:37:01Z,44,44,"A civil registration official for a county council in England","information-sharing-agreement-powers-and-objectives-0001:5",,
43,43,2018-11-01T16:37:01Z,43,43,"A county council in England","information-sharing-agreement-powers-and-objectives-0001:1;information-sharing-agreement-powers-and-objectives-0001:4;information-sharing-agreement-powers-and-objectives-0001:2;information-sharing-agreement-powers-and-objectives-0001:3;information-sharing-agreement-powers-and-objectives-0001:5;information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
42,42,2018-11-01T16:37:01Z,42,42,"The responsible person in relation to an educational institution as defined by section 72(5) of the Education and Skills Act 2008 (other than a person within paragraph 23 or 24).","information-sharing-agreement-powers-and-objectives-0001:1",,
41,41,2018-11-01T16:37:01Z,41,41,"The proprietor of an Academy within the meaning of that Act","information-sharing-agreement-powers-and-objectives-0001:1",,
40,40,2018-11-01T16:37:01Z,40,40,"The proprietor of a school within the meaning of the Education Act 1996","information-sharing-agreement-powers-and-objectives-0001:1",,
39,39,2018-11-01T16:37:01Z,39,39,"The Student Loans Company","information-sharing-agreement-powers-and-objectives-0001:6;information-sharing-agreement-powers-and-objectives-0001:7",,
38,38,2018-11-01T16:37:01Z,38,38,"The Higher Education Funding Council for England","information-sharing-agreement-powers-and-objectives-0001:7",,
37,37,2018-11-01T16:37:01Z,37,37,"The Science and Technology Facilities Council","information-sharing-agreement-powers-and-objectives-0001:7",,
36,36,2018-11-01T16:37:01Z,36,36,"The Engineering and Physical Sciences Research Council","information-sharing-agreement-powers-and-objectives-0001:7",,
35,35,2018-11-01T16:37:01Z,35,35,"The Economic and Social Research Council","information-sharing-agreement-powers-and-objectives-0001:7",,
34,34,2018-11-01T16:37:01Z,34,34,"The Biotechnology and Biological Sciences Research Council","information-sharing-agreement-powers-and-objectives-0001:7",,
